ID,Word_count_work_description
1,1
2,5
3,2
4,3
5,1
6,1
7,3
8,1
9,1
10,1
11,1
12,2
13,6
14,1
15,10
16,1
17,1
18,1
19,1
20,11
21,1
22,2
23,1
24,8
25,1
26,1
27,1
28,1
29,12
30,3
31,1
32,1
33,1
34,2
35,2
36,15
37,4
38,4
39,2
40,9
41,10
42,1
43,16
44,1
45,6
46,5
47,1
48,16
49,1
50,1
51,3
52,1
53,6
54,1
55,2
56,2
57,3
58,2
59,2
60,2
61,2
62,2
63,2
64,1
65,1
66,7
67,1
68,1
69,1
70,3
71,1
72,1
73,11
74,5
75,5
76,2
77,1
78,1
79,1
80,14
81,1
82,4
83,10
84,13
85,2
86,4
87,1
88,4
89,6
90,2
91,3
92,1
93,1
94,2
95,26
96,4
97,5
98,1
99,1
100,1
101,3
102,1
103,41
104,1
105,4
106,1
107,1
108,2
109,1
110,12
111,1
112,21
113,7
114,1
115,1
116,3
117,17
118,1
119,2
120,1
121,1
122,2
123,1
124,1
125,1
126,1
127,1
128,1
129,1
130,7
131,3
132,6
133,4
134,1
135,1
136,5
137,1
138,1
139,1
140,1
141,8
142,1
143,3
144,1
145,1
146,5
147,7
148,3
149,4
150,1
151,1
152,1
153,8
154,1
155,8
156,5
157,12
158,1
159,1
160,2
161,3
162,1
163,1
164,1
165,1
166,13
167,1
168,1
169,2
170,1
171,1
172,4
173,2
174,2
175,6
176,7
177,6
178,3
179,1
180,5
181,11
182,1
183,1
184,1
185,3
186,1
187,1
188,1
189,1
190,1
191,4
192,1
193,1
194,1
195,6
196,1
197,1
198,5
199,5
200,1
201,5
202,1
203,1
204,1
205,1
206,6
207,1
208,5
209,3
210,2
211,2
212,5
213,1
214,1
215,6
216,6
217,4
218,3
219,4
220,3
221,6
222,3
223,29
224,7
225,9
226,5
227,1
228,1
229,1
230,1
231,2
232,1
233,1
234,17
235,15
236,1
237,5
238,14
239,1
240,3
241,3
242,3
243,4
244,1
245,4
246,1
247,1
248,1
249,3
250,19
251,4
252,1
253,9
254,3
255,5
256,1
257,16
258,4
259,1
260,6
261,1
262,1
263,1
264,4
265,4
266,1
267,1
268,2
269,1
270,2
271,16
272,9
273,1
274,2
275,4
276,2
277,2
278,3
279,5
280,7
281,1
282,14
283,7
284,4
285,8
286,2
287,5
288,1
289,7
290,2
291,4
292,5
293,19
294,2
295,2
296,3
297,4
298,3
299,1
300,2
301,4
302,1
303,1
304,1
305,1
306,2
307,1
308,1
309,1
310,1
311,1
312,1
313,4
314,4
315,15
316,2
317,4
318,8
319,1
320,4
321,2
322,1
323,6
324,1
325,1
326,1
327,1
328,9
329,5
330,4
331,1
332,1
333,2
334,1
335,2
336,2
337,1
338,1
339,1
340,4
341,1
342,4
343,1
344,1
345,1
346,4
347,1
348,4
349,2
350,5
351,1
352,3
353,1
354,1
355,11
356,5
357,1
358,2
359,1
360,2
361,1
362,1
363,1
364,1
365,1
366,5
367,2
368,24
369,7
370,5
371,5
372,1
373,6
374,4
375,18
376,3
377,6
378,1
379,1
380,1
381,6
382,1
383,5
384,8
385,5
386,5
387,7
388,1
389,1
390,5
391,1
392,1
393,3
394,4
395,3
396,1
397,1
398,1
399,2
400,1
401,2
402,17
403,3
404,3
405,15
406,3
407,1
408,1
409,3
410,4
411,3
412,4
413,1
414,5
415,2
416,1
417,4
418,3
419,1
420,1
421,3
422,5
423,2
424,1
425,1
426,4
427,2
428,5
429,7
430,3
431,3
432,17
433,2
434,17
435,5
436,2
437,5
438,1
439,1
440,6
441,1
442,1
443,20
444,5
445,3
446,3
447,5
448,1
449,1
450,2
451,1
452,3
453,5
454,1
455,3
456,3
457,4
458,14
459,1
460,9
461,1
462,1
463,1
464,3
465,4
466,1
467,1
468,1
469,1
470,1
471,1
472,8
473,3
474,3
475,1
476,2
477,1
478,4
479,13
480,2
481,20
482,1
483,1
484,3
485,5
486,5
487,5
488,1
489,1
490,1
491,1
492,8
493,2
494,2
495,2
496,1
497,1
498,1
499,1
500,3
501,1
502,1
503,1
504,1
505,8
506,3
507,1
508,4
509,1
510,1
511,1
512,1
513,3
514,1
515,3
516,1
517,5
518,3
519,5
520,8
521,1
522,1
523,1
524,9
525,3
526,5
527,5
528,2
529,7
530,7
531,2
532,1
533,2
534,1
535,4
536,2
537,21
538,1
539,1
540,4
541,6
542,11
543,1
544,6
545,6
546,2
547,6
548,2
549,12
550,4
551,5
552,7
553,3
554,1
555,3
556,4
557,4
558,4
559,1
560,4
561,5
562,2
563,8
564,10
565,5
566,4
567,2
568,1
569,3
570,1
571,3
572,5
573,1
574,5
575,3
576,11
577,18
578,3
579,2
580,1
581,1
582,1
583,1
584,1
585,1
586,6
587,4
588,7
589,7
590,9
591,5
592,3
593,4
594,7
595,2
596,2
597,1
598,2
599,1
600,12
601,2
602,7
603,1
604,16
605,2
606,1
607,1
608,13
609,4
610,2
611,2
612,1
613,1
614,3
615,3
616,2
617,1
618,1
619,2
620,19
621,4
622,2
623,4
624,4
625,3
626,6
627,5
628,1
629,7
630,1
631,1
632,2
633,2
634,2
635,2
636,2
637,1
638,2
639,1
640,2
641,1
642,1
643,5
644,1
645,9
646,3
647,4
648,1
649,12
650,2
651,3
652,1
653,1
654,2
655,3
656,1
657,1
658,2
659,1
660,1
661,3
662,3
663,2
664,3
665,1
666,2
667,1
668,13
669,5
670,2
671,2
672,3
673,1
674,4
675,3
676,5
677,11
678,1
679,4
680,4
681,11
682,1
683,1
684,1
685,2
686,2
687,2
688,4
689,10
690,1
691,1
692,1
693,5
694,1
695,1
696,2
697,6
698,7
699,4
700,1
701,6
702,4
703,3
704,1
705,6
706,17
707,9
708,3
709,1
710,5
711,3
712,1
713,4
714,4
715,1
716,7
717,2
718,2
719,1
720,4
721,4
722,2
723,1
724,6
725,2
726,1
727,2
728,1
729,3
730,2
731,2
732,4
733,2
734,7
735,4
736,6
737,1
738,1
739,5
740,2
741,6
742,8
743,8
744,5
745,4
746,4
747,1
748,1
749,5
750,2
751,1
752,5
753,4
754,1
755,4
756,1
757,1
758,4
759,3
760,5
761,1
762,7
763,11
764,1
765,2
766,1
767,5
768,1
769,1
770,2
771,1
772,16
773,3
774,1
775,1
776,2
777,2
778,2
779,1
780,3
781,5
782,3
783,17
784,5
785,3
786,1
787,4
788,5
789,5
790,1
791,5
792,2
793,1
794,3
795,3
796,4
797,1
798,2
799,4
800,15
801,3
802,5
803,1
804,2
805,3
806,1
807,1
808,1
809,4
810,2
811,1
812,1
813,1
814,2
815,7
816,3
817,6
818,1
819,9
820,2
821,4
822,1
823,1
824,2
825,1
826,1
827,1
828,4
829,3
830,2
831,4
832,2
833,3
834,2
835,1
836,3
837,1
838,5
839,10
840,1
841,1
842,1
843,2
844,1
845,4
846,3
847,1
848,27
849,1
850,15
851,2
852,1
853,2
854,1
855,5
856,6
857,5
858,9
859,2
860,1
861,3
862,2
863,1
864,1
865,2
866,1
867,5
868,4
869,9
870,5
871,4
872,5
873,8
874,1
875,5
876,1
877,3
878,1
879,1
880,1
881,1
882,1
883,3
884,2
885,3
886,2
887,2
888,1
889,1
890,1
891,1
892,1
893,2
894,8
895,1
896,1
897,1
898,1
899,4
900,1
901,1
902,1
903,3
904,1
905,1
906,1
907,1
908,6
909,4
910,7
911,6
912,9
913,4
914,1
915,3
916,9
917,1
918,3
919,1
920,1
921,1
922,1
923,7
924,1
925,1
926,4
927,23
928,18
929,4
930,2
931,4
932,1
933,1
934,7
935,2
936,1
937,1
938,4
939,9
940,3
941,4
942,3
943,4
944,6
945,1
946,1
947,7
948,1
949,1
950,3
951,7
952,1
953,1
954,4
955,16
956,1
957,3
958,1
959,5
960,1
961,1
962,1
963,1
964,1
965,1
966,6
967,1
968,1
969,14
970,1
971,1
972,3
973,1
974,4
975,1
976,1
977,2
978,1
979,1
980,1
981,21
982,3
983,3
984,8
985,1
986,3
987,1
988,1
989,1
990,1
991,4
992,5
993,6
994,4
995,1
996,1
997,6
998,11
999,3
1000,1
1001,1
1002,3
1003,1
1004,4
1005,1
1006,2
1007,2
1008,1
1009,1
1010,13
1011,5
1012,3
1013,1
1014,3
1015,1
1016,3
1017,1
1018,3
1019,1
1020,1
1021,4
1022,2
1023,7
1024,1
1025,1
1026,1
1027,3
1028,1
1029,1
1030,5
1031,3
1032,1
1033,1
1034,2
1035,1
1036,4
1037,1
1038,3
1039,1
1040,1
1041,1
1042,1
1043,5
1044,5
1045,10
1046,1
1047,2
1048,3
1049,4
1050,2
1051,1
1052,1
1053,3
1054,13
1055,1
1056,1
1057,4
1058,6
1059,6
1060,1
1061,7
1062,7
